,comment,good,bad
0,보고싶었어요,0,0
1,와씨..넌..졸업이고 뭐고 없다 이번생은ㅡㅡ🤗,0,0
2,순간 왕고가 대신 화내 준 줄..,0,0
3,저러니 암도 안오지,0,0
4,와 혼나고도 저렇게 말한다고??? 나보다 더한 경험했네 ,0,0
5,역싴ㅋㅋㅋㅋ 검은머리놈들은 절대 잘해주면 안됨 ㅋㅋㅋㅋㅋ 지금도 그 때 생각하면 어이가 없다 ,0,0
6,태양?? 분명 후회한닼ㅋㅋㅋㅋ 나도 저랬다가 개후회했지 ㅋㅋㅋㅋ,0,0
7,이런 타입이 인간 대 인간으로서 정말 최악인데 ㅋㅋㅋㅋ,0,0
8,사실 베낀 건 상관 없는데 굳이 알아보기 힘들게 하는 건 좀 빡침ㅋㅋ,0,0
9,손에 있는걸 끼얹을수는 없으니까...,0,0
10,왕고같은 방식이 쭉 이어져올수밖에 없었던 이유,2,0
11,컷이랑 컷이어지는 부분 손가락으로 멈춰서 본사람?,0,0
12,아니 ㄹㅇ 동기 뭔죄임,0,0
13,강약약강ㅋㅋㅋㅋ 전형적인 지질이ㅋㅋㅋㅋㅋ,2,0
