,comment,good,bad
0,100화 축하드려요!! 요다님 앞으로 900화 남으셨어요!!!,0,0
1,탈모로 더 고생해라로 봄ㅋㅋ,0,0
2,100화 너무 축하드려요❤️❤️ 항상 응원하고 재미있게 보고있어요❤️,0,0
3,논리적인추론으로....설렁탕 밀키트회사의 아이패드이밴트?,0,0
4,요다 턱살 귀여웡 ㅠㅠ,0,0
5,코선배 순위권에 읎엌ㅋㅋㅋㅋㅋ,5,0
6,꿈이아니였어..,0,0
7,이시점에서 모두가 같은생각하는구나..꿈이라는,0,0
8,꿈이네요,0,0
9,놀램 ㅋ,0,0
10,방장님 후광봐ㅋㅋㅋㅋㅋㅋ다행히 요다님 교수님은 없네요:),2,0
11,???: 중전~마마 납-시오오,0,0
12,100화 축하드려요!더 그릴 거죠?,0,0
13,꿈이네,1,0
14,무서운 얘기를 막하네;;,1,0
